PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
1,0,3,,,22.0,1,0,,7.25,
2,1,1,,,38.0,1,0,,71.2833,
3,1,3,,,26.0,0,0,,7.925,
4,1,1,,,35.0,1,0,113803.0,53.1,
5,0,3,,,35.0,0,0,373450.0,8.05,
6,0,3,,,28.0,0,0,330877.0,8.4583,
7,0,1,,,54.0,0,0,17463.0,51.8625,
8,0,3,,,2.0,3,1,349909.0,21.075,
9,1,3,,,27.0,0,2,347742.0,11.1333,
10,1,2,,,14.0,1,0,237736.0,30.0708,
11,1,3,,,4.0,1,1,,16.7,
12,1,1,,,58.0,0,0,113783.0,26.55,
13,0,3,,,20.0,0,0,,8.05,
14,0,3,,,39.0,1,5,347082.0,31.275,
15,0,3,,,14.0,0,0,350406.0,7.8542,
16,1,2,,,55.0,0,0,248706.0,16.0,
17,0,3,,,2.0,4,1,382652.0,29.125,
18,1,2,,,28.0,0,0,244373.0,13.0,
19,0,3,,,31.0,1,0,345763.0,18.0,
20,1,3,,,28.0,0,0,2649.0,7.225,
21,0,2,,,35.0,0,0,239865.0,26.0,
22,1,2,,,34.0,0,0,248698.0,13.0,
23,1,3,,,15.0,0,0,330923.0,8.0292,
24,1,1,,,28.0,0,0,113788.0,35.5,
25,0,3,,,8.0,3,1,349909.0,21.075,
26,1,3,,,38.0,1,5,347077.0,31.3875,
27,0,3,,,28.0,0,0,2631.0,7.225,
28,0,1,,,19.0,3,2,19950.0,263.0,
29,1,3,,,28.0,0,0,330959.0,7.8792,
30,0,3,,,28.0,0,0,349216.0,7.8958,
31,0,1,,,40.0,0,0,,27.7208,
32,1,1,,,28.0,1,0,,146.5208,
33,1,3,,,28.0,0,0,335677.0,7.75,
34,0,2,,,66.0,0,0,,10.5,
35,0,1,,,28.0,1,0,,82.1708,
36,0,1,,,42.0,1,0,113789.0,52.0,
37,1,3,,,28.0,0,0,2677.0,7.2292,
38,0,3,,,21.0,0,0,,8.05,
39,0,3,,,18.0,2,0,345764.0,18.0,
40,1,3,,,14.0,1,0,2651.0,11.2417,
41,0,3,,,40.0,1,0,7546.0,9.475,
42,0,2,,,27.0,1,0,11668.0,21.0,
43,0,3,,,28.0,0,0,349253.0,7.8958,
44,1,2,,,3.0,1,2,,41.5792,
45,1,3,,,19.0,0,0,330958.0,7.8792,
46,0,3,,,28.0,0,0,,8.05,
47,0,3,,,28.0,1,0,370371.0,15.5,
